"SE Task",""
"Anaphoric ambiguity treatment","3"
"Requirements term identification","1"
"Requirements classification","3"
"Coreference detection","1"
"Requirement analysis and evaluation","2"
"Traceability automation","1"
"GUI retrieval","1"
"Software specification synthesis","1"
"Rapid prototyping","1"
"Code generation","62"
"Agile story point estimation","1"
"Code completion","16"
"API documentation smell detection","1"
"Code summarization","10"
"API entity and relation extraction","1"
"Code understanding","7"
"Code optimization","1"
"Code search","5"
"Code example recommendation","1"
"Program synthesis","5"
"Control flow graph generation","1"
"API recommendation","2"
"Data analysis","1"
"API synthesis","2"
"Identifier normalization","1"
"Code comment generation","2"
"Instruction generation","1"
"Code representation","2"
"Type inference","1"
"Method name generation","2"
"Others","11"
"Test generation","8"
"Bug localization","1"
"Vulnerability detection","7"
"Failure-inducing test identification","1"
"Test automation","4"
"Flaky test prediction","1"
"Verification","2"
"Program repair","23"
"Duplicate bug report detection","1"
"Code review","6"
"Decompilation","1"
"Debugging","4"
"Program merge conflicts repair","1"
"Bug report analysis","3"
"Sentiment analysis","1"
"Code clone detection","3"
"Tag recommendation","1"
"Logging","2"
"Vulnerability repair","1"
"Bug prediction","1"
"Commit classification","1"
"Bug triage","1"
"Traceability recovery","1"
"Bug report replay","1"
"Others","6"
"Effort estimation","1"
